scientific_name,taxonomic_id,database_table
Phrontis vibex,877061,seagrass_monitoring_l2_standardized_epifauna_data
Prionospio,129620,seagrass_monitoring_l2_standardized_epifauna_data
Prunum apicinum,420149,seagrass_monitoring_l2_standardized_epifauna_data
Pyrgocythara plicosa,160476,seagrass_monitoring_l2_standardized_epifauna_data
Rhithropanopeus harrisii,107414,seagrass_monitoring_l2_standardized_epifauna_data
Tanaidacea,1133,seagrass_monitoring_l2_standardized_epifauna_data
Turbonilla dalli,420483,seagrass_monitoring_l2_standardized_epifauna_data
Ampelisca verrilli,158023,seagrass_monitoring_l2_standardized_epifauna_data
Amphipoda,1135,seagrass_monitoring_l2_standardized_epifauna_data
Amphithrax hemphilli,1258715,seagrass_monitoring_l2_standardized_epifauna_data
Aonides mayaguezensis,157179,seagrass_monitoring_l2_standardized_epifauna_data
Bittiolum varium,160174,seagrass_monitoring_l2_standardized_epifauna_data
Bulla striata,138940,seagrass_monitoring_l2_standardized_epifauna_data
Caecum floridanum,419588,seagrass_monitoring_l2_standardized_epifauna_data
Callinectes,106921,seagrass_monitoring_l2_standardized_epifauna_data
Caridea,106674,seagrass_monitoring_l2_standardized_epifauna_data
Ceratonereis mirabilis,130372,seagrass_monitoring_l2_standardized_epifauna_data
Cerithium atratum,224572,seagrass_monitoring_l2_standardized_epifauna_data
Cerithium litteratum,216687,seagrass_monitoring_l2_standardized_epifauna_data
Corophium,101489,seagrass_monitoring_l2_standardized_epifauna_data
Crepidula convexa,160228,seagrass_monitoring_l2_standardized_epifauna_data
Cuapetes americanus,514508,seagrass_monitoring_l2_standardized_epifauna_data
Decapoda,1130,seagrass_monitoring_l2_standardized_epifauna_data
Dissonidae,346012,seagrass_monitoring_l2_standardized_epifauna_data
Dulichiella appendiculata,421504,seagrass_monitoring_l2_standardized_epifauna_data
Epitonium candeanum,419806,seagrass_monitoring_l2_standardized_epifauna_data
Erichsonella attenuata,157887,seagrass_monitoring_l2_standardized_epifauna_data
Eurypanopeus depressus,158416,seagrass_monitoring_l2_standardized_epifauna_data
Exogone dispar,333453,seagrass_monitoring_l2_standardized_epifauna_data
Haminoea antillarum,420524,seagrass_monitoring_l2_standardized_epifauna_data
Haminoea petitii,532293,seagrass_monitoring_l2_standardized_epifauna_data
Hargeria rapax,247538,seagrass_monitoring_l2_standardized_epifauna_data
Hexapanopeus paulensis,422081,seagrass_monitoring_l2_standardized_epifauna_data
Hippolyte pleuracantha,158360,seagrass_monitoring_l2_standardized_epifauna_data
Isopoda,1131,seagrass_monitoring_l2_standardized_epifauna_data
Japonactaeon punctostriatus,420514,seagrass_monitoring_l2_standardized_epifauna_data
Lembos unifasciatus,422677,seagrass_monitoring_l2_standardized_epifauna_data
Lysianopsis alba,158036,seagrass_monitoring_l2_standardized_epifauna_data
Megalops,125726,seagrass_monitoring_l2_standardized_epifauna_data
Melphidippidae,101398,seagrass_monitoring_l2_standardized_epifauna_data
Micropanope,246346,seagrass_monitoring_l2_standardized_epifauna_data
Modulidae,196285,seagrass_monitoring_l2_standardized_epifauna_data
Mollusca,51,seagrass_monitoring_l2_standardized_epifauna_data
Nanoplax xanthiformis,422113,seagrass_monitoring_l2_standardized_epifauna_data
Nassarius acutus,160395,seagrass_monitoring_l2_standardized_epifauna_data
Pectinidae,213,seagrass_monitoring_l2_standardized_epifauna_data
Phasianellidae,151267,seagrass_monitoring_l2_standardized_epifauna_data
Polychaeta,883,seagrass_monitoring_l2_standardized_epifauna_data
Polyplacophora,55,seagrass_monitoring_l2_standardized_epifauna_data
Pycnogonida,1302,seagrass_monitoring_l2_standardized_epifauna_data
Quadrimaera quadrimana,421523,seagrass_monitoring_l2_standardized_epifauna_data
Sipuncula,1268,seagrass_monitoring_l2_standardized_epifauna_data
Smaragdia,138255,seagrass_monitoring_l2_standardized_epifauna_data
Smaragdia viridis,140570,seagrass_monitoring_l2_standardized_epifauna_data
Turbonilla toyatani,160091,seagrass_monitoring_l2_standardized_epifauna_data
Unciola,101474,seagrass_monitoring_l2_standardized_epifauna_data
Vitta virginea,865834,seagrass_monitoring_l2_standardized_epifauna_data
Cymodocea nodosa,145793,seagrass_monitoring_l2_standardized_blade_measurements
Halodule wrightii,208925,seagrass_monitoring_l2_standardized_blade_measurements
Syringodium filiforme,374715,seagrass_monitoring_l2_standardized_blade_measurements
Thalassia testudinum,374720,seagrass_monitoring_l2_standardized_blade_measurements
Cymodocea nodosa,145793,seagrass_monitoring_l2_standardized_sheath_and_epibiont_data
Halodule wrightii,208925,seagrass_monitoring_l2_standardized_sheath_and_epibiont_data
Syringodium filiforme,374715,seagrass_monitoring_l2_standardized_sheath_and_epibiont_data
Thalassia testudinum,374720,seagrass_monitoring_l2_standardized_sheath_and_epibiont_data
